timestamp,Right Hand X Position,Right Hand Y Position,Right Hand Z Position,Left Hand X Position,Left Hand Y Position,Left Hand Z Position
1.60641E+15,0.214742,0.0999383,1.30546,-0.323973,0.111837,1.29391
1.60641E+15,0.214719,0.100956,1.30525,-0.323747,0.111936,1.29412
1.60641E+15,0.214581,0.101095,1.30456,-0.323552,0.111913,1.29455
1.60641E+15,0.214459,0.101983,1.30448,-0.323362,0.112053,1.29541
1.60641E+15,0.214424,0.102691,1.30413,-0.324445,0.111497,1.29545
1.60641E+15,0.214481,0.102902,1.30373,-0.325636,0.11073,1.29527
1.60641E+15,0.214796,0.104984,1.30739,-0.326425,0.110863,1.29559
1.60641E+15,0.215405,0.106958,1.30765,-0.327156,0.111383,1.29596
1.60641E+15,0.216134,0.10859,1.30697,-0.327437,0.113139,1.29709
1.60641E+15,0.216519,0.109538,1.30557,-0.327866,0.114325,1.29773
1.60641E+15,0.216844,0.109517,1.3042,-0.328553,0.114727,1.29798
1.60641E+15,0.216184,0.111067,1.30031,-0.328915,0.115359,1.29922
1.60641E+15,0.214247,0.112941,1.29369,-0.32913,0.116103,1.29969
1.60641E+15,0.211809,0.116223,1.2767,-0.342715,0.0950912,1.2764
1.60641E+15,0.185341,0.0755239,1.24057,-0.332889,0.113873,1.2839
1.60641E+15,0.151601,0.0744885,1.23156,-0.332688,0.092671,1.24457
1.60641E+15,0.0880899,0.112721,1.24012,-0.329137,0.0922435,1.21949
1.60641E+15,0.0605195,0.0682504,1.21321,-0.308626,0.112357,1.18099
1.60641E+15,0.0795483,-0.0145348,1.18655,-0.302152,0.117538,1.12086
1.60641E+15,0.0438877,0.00987583,1.17885,-0.277328,0.0324922,1.06861
1.60641E+15,0.0340182,-0.0113768,1.17721,-0.250979,-0.0263437,1.01758
1.60641E+15,-0.0347501,0.0195838,1.18312,-0.250847,-0.0539644,0.964247
1.60641E+15,0.00474569,-0.0115678,1.16587,-0.235157,-0.134379,1.01152
1.60641E+15,0.00305835,-0.00559177,1.16873,-0.177819,-0.20912,0.959593
1.60641E+15,0.00340053,-0.00271579,1.17098,-0.265367,-0.268536,1.04549
1.60641E+15,0.0102111,-0.0104415,1.16933,-0.25396,-0.281733,1.03688
1.60641E+15,0.00168048,0.00110395,1.16776,-0.27731,-0.296729,1.07171
1.60641E+15,0.00186827,0.00154367,1.16609,-0.2476,-0.321828,1.01936
1.60641E+15,0.00101622,0.003107,1.16409,-0.247454,-0.333844,1.01227
1.60641E+15,-0.0127446,0.0196949,1.1533,-0.248076,-0.340068,1.01129
1.60641E+15,-0.0137096,0.02051,1.15138,-0.246712,-0.341849,1.01109
1.60641E+15,-0.0146419,0.0214232,1.14988,-0.245493,-0.344069,1.00834
1.60641E+15,-0.0150873,0.0220288,1.14919,-0.244621,-0.341898,1.01154
1.60641E+15,-0.0158353,0.0225127,1.14837,-0.243446,-0.344038,1.00795
1.60641E+15,-0.0177695,0.0235689,1.14659,-0.242893,-0.345775,1.00577
1.60641E+15,-0.0191599,0.0239916,1.14534,-0.241574,-0.346943,1.00419
1.60641E+15,-0.0201119,0.0244919,1.14444,-0.240729,-0.347361,1.00459
1.60641E+15,-0.02115,0.0249862,1.14349,-0.240026,-0.347842,1.00506
1.60641E+15,-0.022114,0.0251831,1.14266,-0.239384,-0.348079,1.00551
1.60641E+15,-0.0200685,0.0227016,1.1452,-0.238735,-0.348323,1.00598
1.60641E+15,-0.0199919,0.0221346,1.14529,-0.238239,-0.349002,1.00511
1.60641E+15,-0.01819,0.019107,1.14715,-0.237919,-0.34935,1.00452
1.60641E+15,-0.0128291,0.0103119,1.14913,-0.240203,-0.34919,1.00629
1.60641E+15,0.00129653,0.00507802,1.1845,-0.241337,-0.348996,1.00701
1.60641E+15,0.0012689,-0.00317151,1.17886,-0.239845,-0.350108,1.00462
1.60641E+15,-0.00333593,-0.00507876,1.16491,-0.240004,-0.350344,1.00578
1.60641E+15,0.0103248,0.0126542,1.15884,-0.24093,-0.351635,1.00777
1.60641E+15,0.0310892,0.0254809,1.1584,-0.246161,-0.345884,1.0214
1.60641E+15,0.053142,0.0378002,1.16075,-0.249554,-0.342934,1.02899
1.60641E+15,0.0798509,0.0499173,1.16096,-0.250838,-0.336792,1.03771
1.60641E+15,0.145772,0.0654341,1.16941,-0.250784,-0.334045,1.04101
1.60641E+15,0.15399,0.0728189,1.17856,-0.250373,-0.334302,1.03968
1.60641E+15,0.171262,0.112928,1.20732,-0.24665,-0.347423,1.01835
1.60641E+15,0.185641,0.107867,1.2199,-0.247475,-0.347533,1.01883
1.60641E+15,0.202644,0.103871,1.23752,-0.248977,-0.345002,1.02382
1.60641E+15,0.209124,0.101187,1.24961,-0.248526,-0.346175,1.02205
1.60641E+15,0.215559,0.0987439,1.26104,-0.248173,-0.347363,1.02025
1.60641E+15,0.219013,0.0984709,1.26787,-0.248844,-0.346375,1.02192
1.60641E+15,0.2213,0.0985026,1.27148,-0.248007,-0.348158,1.01876
1.60641E+15,0.224219,0.0974653,1.27715,-0.247947,-0.348273,1.01841
1.60641E+15,0.225722,0.0966764,1.28099,-0.247205,-0.349604,1.01646
1.60641E+15,0.226622,0.0960815,1.28312,-0.246779,-0.350519,1.01514
1.60641E+15,0.235263,0.0637666,1.27525,-0.24656,-0.350201,1.01516
1.60641E+15,0.227432,0.111438,1.28783,-0.245675,-0.351271,1.0132
1.60641E+15,0.237711,0.0630596,1.27612,-0.247623,-0.346677,1.02069
1.60641E+15,0.238032,0.0628387,1.27633,-0.246158,-0.346098,1.01997
1.60641E+15,0.230142,0.0946767,1.28843,-0.245713,-0.346196,1.01972
1.60641E+15,0.230357,0.0944342,1.28846,-0.245418,-0.346161,1.01973
